filepath,species,label_id,split
Anthochaera phrygia/region_122.000-124.000.mp3,Anthochaera phrygia,11,heldout
Anthochaera phrygia/region_3.000-4.400.mp3,Anthochaera phrygia,11,heldout
Anthochaera phrygia/region_30.000-32.000.mp3,Anthochaera phrygia,11,heldout
Anthochaera phrygia/region_34.950-35.600.mp3,Anthochaera phrygia,11,heldout
Anthochaera phrygia/region_60.800-61.700.mp3,Anthochaera phrygia,11,heldout
Antigone rubicunda/region_15.250-17.000.mp3,Antigone rubicunda,12,heldout
Antigone rubicunda/region_19.550-21.550.mp3,Antigone rubicunda,12,heldout
Antigone rubicunda/region_31.500-33.500.mp3,Antigone rubicunda,12,heldout
Antigone rubicunda/region_35.500-37.500.mp3,Antigone rubicunda,12,heldout
Antigone rubicunda/region_5.250-7.250.mp3,Antigone rubicunda,12,heldout
Artamus cinereus/region_103.300-104.650.mp3,Artamus cinereus,13,heldout
Artamus cinereus/region_11.950-13.750.mp3,Artamus cinereus,13,heldout
Artamus cinereus/region_22.050-24.050.mp3,Artamus cinereus,13,heldout
Artamus cinereus/region_26.050-28.050.mp3,Artamus cinereus,13,heldout
Artamus cinereus/region_97.250-98.250.mp3,Artamus cinereus,13,heldout
Artamus cyanopterus/region_14.500-16.500.mp3,Artamus cyanopterus,14,heldout
Artamus cyanopterus/region_19.450-21.450.mp3,Artamus cyanopterus,14,heldout
Artamus cyanopterus/region_4.250-6.250.mp3,Artamus cyanopterus,14,heldout
Artamus cyanopterus/region_44.550-46.550.mp3,Artamus cyanopterus,14,heldout
Artamus minor/region_13.600-15.450.mp3,Artamus minor,15,heldout
Artamus minor/region_18.950-20.950.mp3,Artamus minor,15,heldout
Artamus minor/region_28.950-30.950.mp3,Artamus minor,15,heldout
Artamus minor/region_34.950-36.950.mp3,Artamus minor,15,heldout
Artamus minor/region_48.950-50.950.mp3,Artamus minor,15,heldout
Artamus minor/region_62.950-64.950.mp3,Artamus minor,15,heldout
Artamus minor/region_66.950-68.950.mp3,Artamus minor,15,heldout
Artamus superciliosus/region_17.400-19.400.mp3,Artamus superciliosus,16,heldout
Artamus superciliosus/region_40.400-42.000.mp3,Artamus superciliosus,16,heldout
Artamus superciliosus/region_61.400-62.200.mp3,Artamus superciliosus,16,heldout
Barnardius zonarius/region_1.800-3.800.mp3,Barnardius zonarius,17,heldout
Barnardius zonarius/region_12.450-14.200.mp3,Barnardius zonarius,17,heldout
Barnardius zonarius/region_13.350-13.950.mp3,Barnardius zonarius,17,heldout
Barnardius zonarius/region_2.250-4.200.mp3,Barnardius zonarius,17,heldout
Barnardius zonarius/region_2.400-4.400.mp3,Barnardius zonarius,17,heldout
Barnardius zonarius/region_2.450-4.100.mp3,Barnardius zonarius,17,heldout
Barnardius zonarius/region_25.000-27.000.mp3,Barnardius zonarius,17,heldout
Barnardius zonarius/region_38.800-40.000.mp3,Barnardius zonarius,17,heldout
Barnardius zonarius/region_71.200-73.200.mp3,Barnardius zonarius,17,heldout
Barnardius zonarius/region_9.900-11.500.mp3,Barnardius zonarius,17,heldout
Callocephalon fimbriatum/region_1.400-3.400.mp3,Callocephalon fimbriatum,18,heldout
Callocephalon fimbriatum/region_137.200-138.300.mp3,Callocephalon fimbriatum,18,heldout
Callocephalon fimbriatum/region_16.450-18.450.mp3,Callocephalon fimbriatum,18,heldout
Callocephalon fimbriatum/region_27.950-29.150.mp3,Callocephalon fimbriatum,18,heldout
Callocephalon fimbriatum/region_34.600-35.750.mp3,Callocephalon fimbriatum,18,heldout
Callocephalon fimbriatum/region_42.850-44.850.mp3,Callocephalon fimbriatum,18,heldout
Callocephalon fimbriatum/region_88.600-89.800.mp3,Callocephalon fimbriatum,18,heldout
Calyptorhynchus banksii/region_20.250-21.500.mp3,Calyptorhynchus banksii,19,heldout
Calyptorhynchus banksii/region_26.900-28.550.mp3,Calyptorhynchus banksii,19,heldout
Calyptorhynchus banksii/region_30.050-32.000.mp3,Calyptorhynchus banksii,19,heldout
Calyptorhynchus banksii/region_41.750-43.750.mp3,Calyptorhynchus banksii,19,heldout
Calyptorhynchus banksii/region_46.700-48.350.mp3,Calyptorhynchus banksii,19,heldout
Calyptorhynchus banksii/region_6.600-8.600.mp3,Calyptorhynchus banksii,19,heldout
Calyptorhynchus lathami/region_18.750-20.750.mp3,Calyptorhynchus lathami,20,heldout
Calyptorhynchus lathami/region_30.150-32.150.mp3,Calyptorhynchus lathami,20,heldout
Calyptorhynchus lathami/region_36.750-38.750.mp3,Calyptorhynchus lathami,20,heldout
Capra Hircus/region_0.400-2.399.mp3,Capra Hircus,21,heldout
Capra Hircus/region_1.149-2.949.mp3,Capra Hircus,21,heldout
Capra Hircus/region_3.149-4.448.mp3,Capra Hircus,21,heldout
Capra Hircus/region_3.199-5.198.mp3,Capra Hircus,21,heldout
Capra Hircus/region_4.398-5.897.mp3,Capra Hircus,21,heldout
Capra Hircus/region_4.898-6.447.mp3,Capra Hircus,21,heldout
Capra Hircus/region_5.947-7.946.mp3,Capra Hircus,21,heldout
Capra Hircus/region_6.347-8.046.mp3,Capra Hircus,21,heldout
Capra Hircus/region_6.647-8.646.mp3,Capra Hircus,21,heldout
Capra Hircus/region_7.647-9.046.mp3,Capra Hircus,21,heldout
Carduelis carduelis/region_100.800-102.800.mp3,Carduelis carduelis,22,heldout
Carduelis carduelis/region_11.900-13.900.mp3,Carduelis carduelis,22,heldout
Carduelis carduelis/region_20.900-22.900.mp3,Carduelis carduelis,22,heldout
Carduelis carduelis/region_36.350-38.350.mp3,Carduelis carduelis,22,heldout
Carduelis carduelis/region_55.850-57.850.mp3,Carduelis carduelis,22,heldout
Carduelis carduelis/region_60.400-62.400.mp3,Carduelis carduelis,22,heldout
Carduelis carduelis/region_62.400-64.400.mp3,Carduelis carduelis,22,heldout
Carduelis carduelis/region_67.550-69.550.mp3,Carduelis carduelis,22,heldout
Carduelis carduelis/region_69.550-71.550.mp3,Carduelis carduelis,22,heldout
Carduelis carduelis/region_7.250-9.250.mp3,Carduelis carduelis,22,heldout
Carterornis leucotis/region_0.250-1.500.mp3,Carterornis leucotis,23,heldout
Carterornis leucotis/region_11.450-13.450.mp3,Carterornis leucotis,23,heldout
Carterornis leucotis/region_16.100-18.100.mp3,Carterornis leucotis,23,heldout
Carterornis leucotis/region_19.500-20.700.mp3,Carterornis leucotis,23,heldout
Carterornis leucotis/region_26.900-28.000.mp3,Carterornis leucotis,23,heldout
Carterornis leucotis/region_29.200-30.400.mp3,Carterornis leucotis,23,heldout
Carterornis leucotis/region_33.850-34.800.mp3,Carterornis leucotis,23,heldout
Carterornis leucotis/region_40.950-42.950.mp3,Carterornis leucotis,23,heldout
Carterornis leucotis/region_45.450-47.450.mp3,Carterornis leucotis,23,heldout
Carterornis leucotis/region_46.900-48.400.mp3,Carterornis leucotis,23,heldout
Cervus Unicolour/5-0.wav_part_0.mp3,Cervus Unicolour,24,heldout
Cervus Unicolour/5-6.wav_part_0.mp3,Cervus Unicolour,24,heldout
Ceyx azureus/region_23.700-24.650.mp3,Ceyx azureus,25,heldout
Chenonetta jubata/region_35.350-36.750.mp3,Chenonetta jubata,26,heldout
Chenonetta jubata/region_61.750-63.250.mp3,Chenonetta jubata,26,heldout
Chlamydera nuchalis/region_16.750-18.000.mp3,Chlamydera nuchalis,27,heldout
Chlamydera nuchalis/region_6.000-6.800.mp3,Chlamydera nuchalis,27,heldout
Chlamydera nuchalis/region_65.550-67.550.mp3,Chlamydera nuchalis,27,heldout
Cincloramphus mathewsi/X01598.mp3,Cincloramphus mathewsi,28,heldout
Cincloramphus mathewsi/region_114.000-116.000.mp3,Cincloramphus mathewsi,28,heldout
Cincloramphus mathewsi/region_128.000-130.000.mp3,Cincloramphus mathewsi,28,heldout
Cincloramphus mathewsi/region_210.000-212.000.mp3,Cincloramphus mathewsi,28,heldout
Cincloramphus mathewsi/region_224.000-226.000.mp3,Cincloramphus mathewsi,28,heldout
Cincloramphus mathewsi/region_238.000-240.000.mp3,Cincloramphus mathewsi,28,heldout
Cincloramphus mathewsi/region_248.000-250.000.mp3,Cincloramphus mathewsi,28,heldout
Cincloramphus mathewsi/region_295.000-297.000.mp3,Cincloramphus mathewsi,28,heldout
Cincloramphus mathewsi/region_299.000-301.000.mp3,Cincloramphus mathewsi,28,heldout
Cincloramphus mathewsi/region_98.100-100.100.mp3,Cincloramphus mathewsi,28,heldout
Cinclosoma punctatum/region_10.350-12.350.mp3,Cinclosoma punctatum,29,heldout
Cinclosoma punctatum/region_12.900-14.900.mp3,Cinclosoma punctatum,29,heldout
Cinclosoma punctatum/region_24.500-26.500.mp3,Cinclosoma punctatum,29,heldout
Cinclosoma punctatum/region_28.000-30.000.mp3,Cinclosoma punctatum,29,heldout
Cinclosoma punctatum/region_30.050-32.050.mp3,Cinclosoma punctatum,29,heldout
Cinclosoma punctatum/region_31.300-33.300.mp3,Cinclosoma punctatum,29,heldout
Cinclosoma punctatum/region_32.050-34.050.mp3,Cinclosoma punctatum,29,heldout
Cinclosoma punctatum/region_33.250-35.250.mp3,Cinclosoma punctatum,29,heldout
Cinclosoma punctatum/region_45.750-47.750.mp3,Cinclosoma punctatum,29,heldout
Cinclosoma punctatum/region_88.000-90.000.mp3,Cinclosoma punctatum,29,heldout
Cisticola exilis/region_1.950-3.950.mp3,Cisticola exilis,30,heldout
Cisticola exilis/region_109.150-110.350.mp3,Cisticola exilis,30,heldout
Cisticola exilis/region_11.900-13.900.mp3,Cisticola exilis,30,heldout
Cisticola exilis/region_155.850-157.600.mp3,Cisticola exilis,30,heldout
Cisticola exilis/region_19.500-21.500.mp3,Cisticola exilis,30,heldout
Cisticola exilis/region_2.900-4.350.mp3,Cisticola exilis,30,heldout
Cisticola exilis/region_228.400-229.900.mp3,Cisticola exilis,30,heldout
Cisticola exilis/region_24.200-26.200.mp3,Cisticola exilis,30,heldout
Cisticola exilis/region_36.400-38.400.mp3,Cisticola exilis,30,heldout
Cisticola exilis/region_61.500-62.950.mp3,Cisticola exilis,30,heldout
Climacteris picumnus/region_4.950-6.950.mp3,Climacteris picumnus,31,heldout
Climacteris picumnus/region_53.950-55.950.mp3,Climacteris picumnus,31,heldout
Climacteris picumnus/region_9.300-11.300.mp3,Climacteris picumnus,31,heldout
Colluricincla harmonica/region_0.100-2.100.mp3,Colluricincla harmonica,32,heldout
Colluricincla harmonica/region_16.600-18.600.mp3,Colluricincla harmonica,32,heldout
Colluricincla harmonica/region_163.900-165.900.mp3,Colluricincla harmonica,32,heldout
Colluricincla harmonica/region_2.050-4.050.mp3,Colluricincla harmonica,32,heldout
Colluricincla harmonica/region_222.000-224.000.mp3,Colluricincla harmonica,32,heldout
Colluricincla harmonica/region_25.550-26.550.mp3,Colluricincla harmonica,32,heldout
Colluricincla harmonica/region_294.000-296.000.mp3,Colluricincla harmonica,32,heldout
Colluricincla harmonica/region_306.850-308.850.mp3,Colluricincla harmonica,32,heldout
Colluricincla harmonica/region_372.750-373.500.mp3,Colluricincla harmonica,32,heldout
Colluricincla harmonica/region_64.200-66.100.mp3,Colluricincla harmonica,32,heldout
Conopophila albogularis/region_13.500-15.500.mp3,Conopophila albogularis,33,heldout
Conopophila albogularis/region_34.600-36.050.mp3,Conopophila albogularis,33,heldout
Conopophila albogularis/region_55.050-57.050.mp3,Conopophila albogularis,33,heldout
Conopophila albogularis/region_9.800-11.400.mp3,Conopophila albogularis,33,heldout
Cophixalus exiguus/region_195.350-197.350.mp3,Cophixalus exiguus,34,heldout
Cophixalus exiguus/region_209.350-211.000.mp3,Cophixalus exiguus,34,heldout
Cophixalus exiguus/region_255.350-256.750.mp3,Cophixalus exiguus,34,heldout
Cophixalus exiguus/region_267.500-269.500.mp3,Cophixalus exiguus,34,heldout
Cophixalus exiguus/region_269.500-270.350.mp3,Cophixalus exiguus,34,heldout
Cophixalus exiguus/region_86.250-88.250.mp3,Cophixalus exiguus,34,heldout
Cophixalus infacetus/region_135.100-137.100.mp3,Cophixalus infacetus,35,heldout
Cophixalus infacetus/region_140.850-142.850.mp3,Cophixalus infacetus,35,heldout
Cophixalus infacetus/region_146.850-148.850.mp3,Cophixalus infacetus,35,heldout
Cophixalus infacetus/region_153.300-155.300.mp3,Cophixalus infacetus,35,heldout
Cophixalus infacetus/region_354.500-356.500.mp3,Cophixalus infacetus,35,heldout
Cophixalus infacetus/region_42.850-44.850.mp3,Cophixalus infacetus,35,heldout
Cophixalus infacetus/region_428.500-430.500.mp3,Cophixalus infacetus,35,heldout
Cophixalus infacetus/region_6.450-8.450.mp3,Cophixalus infacetus,35,heldout
Cophixalus infacetus/region_76.450-78.450.mp3,Cophixalus infacetus,35,heldout
Cophixalus infacetus/region_76.700-78.700.mp3,Cophixalus infacetus,35,heldout
Cophixalus ornatus/region_423.950-425.250.mp3,Cophixalus ornatus,36,heldout
Coracina novaehollandiae/region_122.000-124.000.mp3,Coracina novaehollandiae,37,heldout
Coracina novaehollandiae/region_4.650-5.900.mp3,Coracina novaehollandiae,37,heldout
Coracina novaehollandiae/region_6.000-8.000.mp3,Coracina novaehollandiae,37,heldout
Coracina novaehollandiae/region_78.000-80.000.mp3,Coracina novaehollandiae,37,heldout
Coracina novaehollandiae/region_82.000-84.000.mp3,Coracina novaehollandiae,37,heldout
Coracina novaehollandiae/region_92.300-93.500.mp3,Coracina novaehollandiae,37,heldout
Coracina papuensis/region_30.750-32.200.mp3,Coracina papuensis,38,heldout
Corcorax melanorhamphos/region_50.500-52.500.mp3,Corcorax melanorhamphos,39,heldout
Corcorax melanorhamphos/region_52.500-54.500.mp3,Corcorax melanorhamphos,39,heldout
Cormobates leucophaea/region_0.700-2.700.mp3,Cormobates leucophaea,40,heldout
Cormobates leucophaea/region_1.600-3.245.mp3,Cormobates leucophaea,40,heldout
Cormobates leucophaea/region_17.150-19.100.mp3,Cormobates leucophaea,40,heldout
Cormobates leucophaea/region_2.250-3.400.mp3,Cormobates leucophaea,40,heldout
Cormobates leucophaea/region_20.600-21.850.mp3,Cormobates leucophaea,40,heldout
Cormobates leucophaea/region_26.600-28.600.mp3,Cormobates leucophaea,40,heldout
Cormobates leucophaea/region_48.700-50.700.mp3,Cormobates leucophaea,40,heldout
Cormobates leucophaea/region_6.600-8.600.mp3,Cormobates leucophaea,40,heldout
Cormobates leucophaea/region_7.450-9.300.mp3,Cormobates leucophaea,40,heldout
Cormobates leucophaea/region_76.950-78.950.mp3,Cormobates leucophaea,40,heldout
Corvus mellori/region_0.050-2.050.mp3,Corvus mellori,41,heldout
Corvus mellori/region_17.100-19.100.mp3,Corvus mellori,41,heldout
Corvus mellori/region_3.650-5.650.mp3,Corvus mellori,41,heldout
Corvus mellori/region_5.250-7.250.mp3,Corvus mellori,41,heldout
Corvus mellori/region_50.700-51.500.mp3,Corvus mellori,41,heldout
Corvus mellori/region_89.350-90.800.mp3,Corvus mellori,41,heldout
Coturnix pectoralis/region_40.800-42.800.mp3,Coturnix pectoralis,42,heldout
Coturnix pectoralis/region_54.200-56.200.mp3,Coturnix pectoralis,42,heldout
Coturnix pectoralis/region_6.000-8.000.mp3,Coturnix pectoralis,42,heldout
Cygnus atratus/region_17.800-19.100.mp3,Cygnus atratus,43,heldout
Cygnus atratus/region_26.900-28.700.mp3,Cygnus atratus,43,heldout
Cygnus atratus/region_34.600-36.500.mp3,Cygnus atratus,43,heldout
Cygnus atratus/region_41.150-42.700.mp3,Cygnus atratus,43,heldout
Cygnus atratus/region_5.700-7.650.mp3,Cygnus atratus,43,heldout
Cygnus atratus/region_57.600-59.150.mp3,Cygnus atratus,43,heldout
Cygnus atratus/region_59.900-61.550.mp3,Cygnus atratus,43,heldout
Dama Dama/region_0.000-1.999.mp3,Dama Dama,44,heldout
Dama Dama/region_0.350-2.349.mp3,Dama Dama,44,heldout
Dama Dama/region_2.449-4.448.mp3,Dama Dama,44,heldout
Dama Dama/region_6.197-8.196.mp3,Dama Dama,44,heldout
Dama Dama/region_6.547-8.546.mp3,Dama Dama,44,heldout
Dama Dama/region_6.997-8.996.mp3,Dama Dama,44,heldout
Dama Dama/region_7.647-9.646.mp3,Dama Dama,44,heldout
Dama Dama/region_8.046-9.346.mp3,Dama Dama,44,heldout
Daphoenositta chrysoptera/region_105.000-106.700.mp3,Daphoenositta chrysoptera,45,heldout
Daphoenositta chrysoptera/region_117.300-119.300.mp3,Daphoenositta chrysoptera,45,heldout
Daphoenositta chrysoptera/region_126.850-127.850.mp3,Daphoenositta chrysoptera,45,heldout
Daphoenositta chrysoptera/region_139.850-141.200.mp3,Daphoenositta chrysoptera,45,heldout
Daphoenositta chrysoptera/region_33.200-34.750.mp3,Daphoenositta chrysoptera,45,heldout
Daphoenositta chrysoptera/region_6.200-7.500.mp3,Daphoenositta chrysoptera,45,heldout
Daphoenositta chrysoptera/region_6.350-8.300.mp3,Daphoenositta chrysoptera,45,heldout
Daphoenositta chrysoptera/region_79.650-81.650.mp3,Daphoenositta chrysoptera,45,heldout
Daphoenositta chrysoptera/region_85.300-87.300.mp3,Daphoenositta chrysoptera,45,heldout
Dasyurus maculatus/Tiger_Quoll (159).wav,Dasyurus maculatus,46,heldout
Dasyurus maculatus/Tiger_Quoll (177).wav,Dasyurus maculatus,46,heldout
Dasyurus maculatus/Tiger_Quoll (203).wav,Dasyurus maculatus,46,heldout
Dasyurus maculatus/Tiger_Quoll (226).wav,Dasyurus maculatus,46,heldout
Dasyurus maculatus/Tiger_Quoll (227).wav,Dasyurus maculatus,46,heldout
Dasyurus maculatus/Tiger_Quoll (234).wav,Dasyurus maculatus,46,heldout
Dasyurus maculatus/Tiger_Quoll (48).wav,Dasyurus maculatus,46,heldout
Dasyurus maculatus/Tiger_Quoll (53).wav,Dasyurus maculatus,46,heldout
Dasyurus maculatus/Tiger_Quoll (87).wav,Dasyurus maculatus,46,heldout
Dasyurus maculatus/Tiger_Quoll (96).wav,Dasyurus maculatus,46,heldout
Dicaeum hirundinaceum/region_0.200-2.200.mp3,Dicaeum hirundinaceum,47,heldout
Dicaeum hirundinaceum/region_14.750-16.750.mp3,Dicaeum hirundinaceum,47,heldout
Dicaeum hirundinaceum/region_18.100-19.150.mp3,Dicaeum hirundinaceum,47,heldout
Dicaeum hirundinaceum/region_18.900-20.900.mp3,Dicaeum hirundinaceum,47,heldout
Dicaeum hirundinaceum/region_43.100-44.850.mp3,Dicaeum hirundinaceum,47,heldout
Dicaeum hirundinaceum/region_66.950-68.400.mp3,Dicaeum hirundinaceum,47,heldout
Dicaeum hirundinaceum/region_8.000-10.000.mp3,Dicaeum hirundinaceum,47,heldout
Dicaeum hirundinaceum/region_88.300-90.050.mp3,Dicaeum hirundinaceum,47,heldout
Dicaeum hirundinaceum/region_9.800-11.800.mp3,Dicaeum hirundinaceum,47,heldout
Egretta novaehollandiae/region_2.000-4.000.mp3,Egretta novaehollandiae,48,heldout
Elseyornis melanops/region_12.750-14.750.mp3,Elseyornis melanops,49,heldout
Elseyornis melanops/region_18.900-20.900.mp3,Elseyornis melanops,49,heldout
Elseyornis melanops/region_2.100-3.850.mp3,Elseyornis melanops,49,heldout
Entomyzon cyanotis/region_0.350-2.350.mp3,Entomyzon cyanotis,50,heldout
Eurostopodus argus/region_6.050-8.050.mp3,Eurostopodus argus,51,heldout
Eurostopodus mystacalis/region_0.000-2.000.mp3,Eurostopodus mystacalis,52,heldout
Eurostopodus mystacalis/region_30.050-32.050.mp3,Eurostopodus mystacalis,52,heldout
Eurostopodus mystacalis/region_6.050-8.050.mp3,Eurostopodus mystacalis,52,heldout
Eurostopodus mystacalis/region_8.000-10.000.mp3,Eurostopodus mystacalis,52,heldout
Eurystomus orientalis/region_0.200-2.200.mp3,Eurystomus orientalis,53,heldout
Eurystomus orientalis/region_0.600-2.600.mp3,Eurystomus orientalis,53,heldout
Eurystomus orientalis/region_10.200-10.573.mp3,Eurystomus orientalis,53,heldout
Eurystomus orientalis/region_16.350-18.350.mp3,Eurystomus orientalis,53,heldout
Eurystomus orientalis/region_22.200-24.200.mp3,Eurystomus orientalis,53,heldout
Eurystomus orientalis/region_24.200-25.100.mp3,Eurystomus orientalis,53,heldout
Eurystomus orientalis/region_31.300-33.150.mp3,Eurystomus orientalis,53,heldout
Eurystomus orientalis/region_8.200-10.200.mp3,Eurystomus orientalis,53,heldout
Eurystomus orientalis/region_8.400-10.400.mp3,Eurystomus orientalis,53,heldout
Falco berigora/region_0.100-2.000.mp3,Falco berigora,54,heldout
Falco berigora/region_0.150-1.350.mp3,Falco berigora,54,heldout
Falco berigora/region_14.250-16.250.mp3,Falco berigora,54,heldout
Falco berigora/region_22.750-24.750.mp3,Falco berigora,54,heldout
Falco berigora/region_25.050-26.550.mp3,Falco berigora,54,heldout
Falco berigora/region_34.600-36.600.mp3,Falco berigora,54,heldout
Falco berigora/region_38.000-40.000.mp3,Falco berigora,54,heldout
Falco berigora/region_42.000-44.000.mp3,Falco berigora,54,heldout
