Animal,Common Name,Bio Prompt,Image Prompt,"Bio
Generated","Image
Generated
(Best of 4)","Real Image
Obtained","Bio-verified 
(Wikipedia)","Image-verified
(Image Search)","Assets added to site and 
both lookup functions updated",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,JSON
Auscala spinosa,Creaking Branch Cicada,Please generate a short species bio with some interesting facts about  Auscala spinosa.,"A photo realistic images of the animal, Auscala spinosa in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Auscala spinosa in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Auscala spinosa.,,,
Austrochaperina pluvialis,Whitebrowed whistle frog,Please generate a short species bio with some interesting facts about  Austrochaperina pluvialis.,"A photo realistic images of the animal, Austrochaperina pluvialis in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Austrochaperina pluvialis in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Austrochaperina pluvialis.,,,
Austronomus australis,White-striped free-tailed bat,Please generate a short species bio with some interesting facts about  Austronomus australis.,"A photo realistic images of the animal, Austronomus australis in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Austronomus australis in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Austronomus australis.,,,
AvesÂ sp.,,Please generate a short species bio with some interesting facts about  AvesÂ sp..,"A photo realistic images of the animal, AvesÂ sp. in it's natural habitat",,,,,,,,"A photo realistic images of the animal, AvesÂ sp. in it's natural habitat",,,Please generate a short species bio with some interesting facts about  AvesÂ sp..,,,
Aythya australis,White-eyed duck,Please generate a short species bio with some interesting facts about  Aythya australis.,"A photo realistic images of the animal, Aythya australis in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Aythya australis in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Aythya australis.,,,
Barnardius zonarius,Australian ringneck,Please generate a short species bio with some interesting facts about  Barnardius zonarius.,"A photo realistic images of the animal, Barnardius zonarius in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Barnardius zonarius in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Barnardius zonarius.,,,
Biziura lobata,Musk duck,Please generate a short species bio with some interesting facts about  Biziura lobata.,"A photo realistic images of the animal, Biziura lobata in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Biziura lobata in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Biziura lobata.,,,
Burhinus grallarius,Bush stone-curlew,Please generate a short species bio with some interesting facts about  Burhinus grallarius.,"A photo realistic images of the animal, Burhinus grallarius in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Burhinus grallarius in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Burhinus grallarius.,,,
Cacatua galerita,Sulphur-crested cockatoo,Please generate a short species bio with some interesting facts about  Cacatua galerita.,"A photo realistic images of the animal, Cacatua galerita in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Cacatua galerita in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Cacatua galerita.,,,
Cacatua sanguinea,Little corella,Please generate a short species bio with some interesting facts about  Cacatua sanguinea.,"A photo realistic images of the animal, Cacatua sanguinea in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Cacatua sanguinea in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Cacatua sanguinea.,,,
Cacomantis flabelliformis,Fan-tailed cuckoo,Please generate a short species bio with some interesting facts about  Cacomantis flabelliformis.,"A photo realistic images of the animal, Cacomantis flabelliformis in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Cacomantis flabelliformis in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Cacomantis flabelliformis.,,,
Cacomantis variolosus,Brush cuckoo,Please generate a short species bio with some interesting facts about  Cacomantis variolosus.,"A photo realistic images of the animal, Cacomantis variolosus in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Cacomantis variolosus in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Cacomantis variolosus.,,,
CaeliferaÂ sp.,,Please generate a short species bio with some interesting facts about  CaeliferaÂ sp..,"A photo realistic images of the animal, CaeliferaÂ sp. in it's natural habitat",,,,,,,,"A photo realistic images of the animal, CaeliferaÂ sp. in it's natural habitat",,,Please generate a short species bio with some interesting facts about  CaeliferaÂ sp..,,,
Caligavis chrysops,Yellow-faced honeyeater,Please generate a short species bio with some interesting facts about  Caligavis chrysops.,"A photo realistic images of the animal, Caligavis chrysops in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Caligavis chrysops in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Caligavis chrysops.,,,
Callocephalon fimbriatum,Gang-gang cockatoo,Please generate a short species bio with some interesting facts about  Callocephalon fimbriatum.,"A photo realistic images of the animal, Callocephalon fimbriatum in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Callocephalon fimbriatum in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Callocephalon fimbriatum.,,,
Calyptorhynchus banksii,Red-tailed black cockatoo,Please generate a short species bio with some interesting facts about  Calyptorhynchus banksii.,"A photo realistic images of the animal, Calyptorhynchus banksii in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Calyptorhynchus banksii in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Calyptorhynchus banksii.,,,
Calyptorhynchus lathami,Glossy black cockatoo,Please generate a short species bio with some interesting facts about  Calyptorhynchus lathami.,"A photo realistic images of the animal, Calyptorhynchus lathami in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Calyptorhynchus lathami in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Calyptorhynchus lathami.,,,
Canis familiaris,Dogs (???),Please generate a short species bio with some interesting facts about  Canis familiaris.,"A photo realistic images of the animal, Canis familiaris in it's natural habitat",,Failed,,,,,,"A photo realistic images of the animal, Canis familiaris in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Canis familiaris.,,,
Capra hircus,Goat(???),Please generate a short species bio with some interesting facts about  Capra hircus.,"A photo realistic images of the animal, Capra hircus in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Capra hircus in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Capra hircus.,,,
Carduelis carduelis,European goldfinch,Please generate a short species bio with some interesting facts about  Carduelis carduelis.,"A photo realistic images of the animal, Carduelis carduelis in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Carduelis carduelis in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Carduelis carduelis.,,,
Carterornis leucotis,White-eared monarch,Please generate a short species bio with some interesting facts about  Carterornis leucotis.,"A photo realistic images of the animal, Carterornis leucotis in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Carterornis leucotis in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Carterornis leucotis.,,,
Centropus phasianinus,Pheasant coucal,Please generate a short species bio with some interesting facts about  Centropus phasianinus.,"A photo realistic images of the animal, Centropus phasianinus in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Centropus phasianinus in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Centropus phasianinus.,,,
Cervus Unicolour,Sambar deer,Please generate a short species bio with some interesting facts about  Cervus Unicolour.,"A photo realistic images of the animal, Cervus Unicolour in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Cervus Unicolour in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Cervus Unicolour.,,,
Ceyx azureus,Azure kingfisher,Please generate a short species bio with some interesting facts about  Ceyx azureus.,"A photo realistic images of the animal, Ceyx azureus in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Ceyx azureus in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Ceyx azureus.,,,
Conopophila albogularis,,Please generate a short species bio with some interesting facts about  Conopophila albogularis.,"A photo realistic images of the animal, Conopophila albogularis in it's natural habitat",,,,,,,,,,,,,,
Cophixalus bombiens,,Please generate a short species bio with some interesting facts about  Cophixalus bombiens.,"A photo realistic images of the animal, Cophixalus bombiens in it's natural habitat",,,,,,,,,,,,,,
Cophixalus exiguus,,Please generate a short species bio with some interesting facts about  Cophixalus exiguus.,"A photo realistic images of the animal, Cophixalus exiguus in it's natural habitat",,,,,,,,,,,,,,
Cophixalus infacetus,,Please generate a short species bio with some interesting facts about  Cophixalus infacetus.,"A photo realistic images of the animal, Cophixalus infacetus in it's natural habitat",,,,,,,,,,,,,,
Cophixalus ornatus,,Please generate a short species bio with some interesting facts about  Cophixalus ornatus.,"A photo realistic images of the animal, Cophixalus ornatus in it's natural habitat",,,,,,,,,,,,,,
Coracina novaehollandiae,,Please generate a short species bio with some interesting facts about  Coracina novaehollandiae.,"A photo realistic images of the animal, Coracina novaehollandiae in it's natural habitat",,,,,,,,,,,,,,
Coracina papuensis,,Please generate a short species bio with some interesting facts about  Coracina papuensis.,"A photo realistic images of the animal, Coracina papuensis in it's natural habitat",,,,,,,,,,,,,,
Corcorax melanorhamphos,,Please generate a short species bio with some interesting facts about  Corcorax melanorhamphos.,"A photo realistic images of the animal, Corcorax melanorhamphos in it's natural habitat",,,,,,,,,,,,,,
Cormobates leucophaea,,Please generate a short species bio with some interesting facts about  Cormobates leucophaea.,"A photo realistic images of the animal, Cormobates leucophaea in it's natural habitat",,,,,,,,,,,,,,
Corvus bennetti,,Please generate a short species bio with some interesting facts about  Corvus bennetti.,"A photo realistic images of the animal, Corvus bennetti in it's natural habitat",,,,,,,,,,,,,,
Corvus coronoides,,Please generate a short species bio with some interesting facts about  Corvus coronoides.,"A photo realistic images of the animal, Corvus coronoides in it's natural habitat",,Y,,,,,,,,,,,,
Corvus mellori,,Please generate a short species bio with some interesting facts about  Corvus mellori.,"A photo realistic images of the animal, Corvus mellori in it's natural habitat",,,,,,,,,,,,,,
Corvus orru,,Please generate a short species bio with some interesting facts about  Corvus orru.,"A photo realistic images of the animal, Corvus orru in it's natural habitat",,,,,,,,,,,,,,
Coturnix pectoralis,,Please generate a short species bio with some interesting facts about  Coturnix pectoralis.,"A photo realistic images of the animal, Coturnix pectoralis in it's natural habitat",,,,,,,,,,,,,,
Cracticus nigrogularis,,Please generate a short species bio with some interesting facts about  Cracticus nigrogularis.,"A photo realistic images of the animal, Cracticus nigrogularis in it's natural habitat",,,,,,,,,,,,,,
Cracticus torquatus,,Please generate a short species bio with some interesting facts about  Cracticus torquatus.,"A photo realistic images of the animal, Cracticus torquatus in it's natural habitat",,,,,,,,,,,,,,
Crinia signifera,,Please generate a short species bio with some interesting facts about  Crinia signifera.,"A photo realistic images of the animal, Crinia signifera in it's natural habitat",,,,,,,,,,,,,,
Cygnus atratus,,Please generate a short species bio with some interesting facts about  Cygnus atratus.,"A photo realistic images of the animal, Cygnus atratus in it's natural habitat",,,,,,,,,,,,,,
Dacelo leachii,,Please generate a short species bio with some interesting facts about  Dacelo leachii.,"A photo realistic images of the animal, Dacelo leachii in it's natural habitat",,,,,,,,,,,,,,
Dacelo novaeguineae,,Please generate a short species bio with some interesting facts about  Dacelo novaeguineae.,"A photo realistic images of the animal, Dacelo novaeguineae in it's natural habitat",,,,,,,,,,,,,,
Dama Dama,,Please generate a short species bio with some interesting facts about  Dama Dama.,"A photo realistic images of the animal, Dama Dama in it's natural habitat",,Y,,,,,,,,,,,,
Daphoenositta chrysoptera,,Please generate a short species bio with some interesting facts about  Daphoenositta chrysoptera.,"A photo realistic images of the animal, Daphoenositta chrysoptera in it's natural habitat",,,,,,,,,,,,,,
Dendrocygna arcuata,,Please generate a short species bio with some interesting facts about  Dendrocygna arcuata.,"A photo realistic images of the animal, Dendrocygna arcuata in it's natural habitat",,,,,,,,,,,,,,
Dicaeum hirundinaceum,,Please generate a short species bio with some interesting facts about  Dicaeum hirundinaceum.,"A photo realistic images of the animal, Dicaeum hirundinaceum in it's natural habitat",,,,,,,,,,,,,,
Dicrurus bracteatus,,Please generate a short species bio with some interesting facts about  Dicrurus bracteatus.,"A photo realistic images of the animal, Dicrurus bracteatus in it's natural habitat",,,,,,,,,,,,,,
Ducula spilorrhoa,,Please generate a short species bio with some interesting facts about  Ducula spilorrhoa.,"A photo realistic images of the animal, Ducula spilorrhoa in it's natural habitat",,,,,,,,,,,,,,
EdolisomaÂ tenuirostre,,Please generate a short species bio with some interesting facts about  EdolisomaÂ tenuirostre.,"A photo realistic images of the animal, EdolisomaÂ tenuirostre in it's natural habitat",,,,,,,,,,,,,,
Egretta novaehollandiae,,Please generate a short species bio with some interesting facts about  Egretta novaehollandiae.,"A photo realistic images of the animal, Egretta novaehollandiae in it's natural habitat",,,,,,,,,,,,,,
Elanus axillaris,,Please generate a short species bio with some interesting facts about  Elanus axillaris.,"A photo realistic images of the animal, Elanus axillaris in it's natural habitat",,,,,,,,,,,,,,
Elseyornis melanops,,Please generate a short species bio with some interesting facts about  Elseyornis melanops.,"A photo realistic images of the animal, Elseyornis melanops in it's natural habitat",,,,,,,,,,,,,,
Entomyzon cyanotis,,Please generate a short species bio with some interesting facts about  Entomyzon cyanotis.,"A photo realistic images of the animal, Entomyzon cyanotis in it's natural habitat",,,,,,,,,,,,,,
Eolophus roseicapilla,,Please generate a short species bio with some interesting facts about  Eolophus roseicapilla.,"A photo realistic images of the animal, Eolophus roseicapilla in it's natural habitat",,,,,,,,,,,,,,
Eopsaltria australis,,Please generate a short species bio with some interesting facts about  Eopsaltria australis.,"A photo realistic images of the animal, Eopsaltria australis in it's natural habitat",,Y,,,,,,,,,,,,
Ephippitytha trigintiduoguttata,,Please generate a short species bio with some interesting facts about  Ephippitytha trigintiduoguttata.,"A photo realistic images of the animal, Ephippitytha trigintiduoguttata in it's natural habitat",,,,,,,,,,,,,,
Eudynamys orientalis,,Please generate a short species bio with some interesting facts about  Eudynamys orientalis.,"A photo realistic images of the animal, Eudynamys orientalis in it's natural habitat",,,,,,,,,,,,,,
Eurostopodus argus,,Please generate a short species bio with some interesting facts about  Eurostopodus argus.,"A photo realistic images of the animal, Eurostopodus argus in it's natural habitat",,,,,,,,,,,,,,
Eurostopodus mystacalis,,Please generate a short species bio with some interesting facts about  Eurostopodus mystacalis.,"A photo realistic images of the animal, Eurostopodus mystacalis in it's natural habitat",,,,,,,,,,,,,,
Eurystomus orientalis,,Please generate a short species bio with some interesting facts about  Eurystomus orientalis.,"A photo realistic images of the animal, Eurystomus orientalis in it's natural habitat",,,,,,,,,,,,,,
Falco berigora,,Please generate a short species bio with some interesting facts about  Falco berigora.,"A photo realistic images of the animal, Falco berigora in it's natural habitat",,,,,,,,,,,,,,
Falco cenchroides,,Please generate a short species bio with some interesting facts about  Falco cenchroides.,"A photo realistic images of the animal, Falco cenchroides in it's natural habitat",,,,,,,,,,,,,,
Falco peregrinus,,Please generate a short species bio with some interesting facts about  Falco peregrinus.,"A photo realistic images of the animal, Falco peregrinus in it's natural habitat",,,,,,,,,,,,,,
Falcunculus frontatus,,Please generate a short species bio with some interesting facts about  Falcunculus frontatus.,"A photo realistic images of the animal, Falcunculus frontatus in it's natural habitat",,,,,,,,,,,,,,
Felis Catus,,Please generate a short species bio with some interesting facts about  Felis Catus.,"A photo realistic images of the animal, Felis Catus in it's natural habitat",,Y,,,,,,,,,,,,
Froggattina australis,,Please generate a short species bio with some interesting facts about  Froggattina australis.,"A photo realistic images of the animal, Froggattina australis in it's natural habitat",,,,,,,,,,,,,,
Fulica atra,,Please generate a short species bio with some interesting facts about  Fulica atra.,"A photo realistic images of the animal, Fulica atra in it's natural habitat",,,,,,,,,,,,,,
Galanga labeculata,,Please generate a short species bio with some interesting facts about  Galanga labeculata.,"A photo realistic images of the animal, Galanga labeculata in it's natural habitat",,,,,,,,,,,,,,
Gallinula tenebrosa,,Please generate a short species bio with some interesting facts about  Gallinula tenebrosa.,"A photo realistic images of the animal, Gallinula tenebrosa in it's natural habitat",,,,,,,,,,,,,,
Gavicalis virescens,,Please generate a short species bio with some interesting facts about  Gavicalis virescens.,"A photo realistic images of the animal, Gavicalis virescens in it's natural habitat",,,,,,,,,,,,,,
