,sounds,species,latitude,longitude
65,X02479,Phaps chalcoptera,"""-33.1341""","""150.1358"""
66,X00187,Gryllidae sp.,"""-33.1449""","""149.9814"""
67,X00604,Neosericornis citreogularis,"""-32.8405""","""150.3575"""
68,X00901,Stomiopera unicolor,"""-18.7395""","""138.3191"""
69,X00680,Acanthiza reguloides,"""-33.1449""","""149.9814"""
70,X01553,Dicaeum hirundinaceum,"""-33.1449""","""149.9814"""
71,X01146,Eopsaltria australis,"""-25.9667""","""144.9333"""
72,X01156,Eopsaltria australis,"""-28.3667""","""153.0833"""
73,X01406,Cracticus nigrogularis,"""-28.0731""","""153.4439"""
74,X00508,Podargus strigoides,"""-13.2671""","""132.8234"""
75,X01300,Myiagra inquieta,"""-33.0522""","""150.1722"""
76,X04100,Trichosurus vulpecula,"""-33.1449""","""149.9814"""
77,X03368,Anthochaera phrygia,"""-33.0522""","""150.1722"""
78,X01719,Menura novaehollandiae,"""-33.1101""","""150.0567"""
79,X02629,Philemon corniculatus,"""-33.1341""","""150.1358"""
80,X01502,Stizoptera bichenovii,"""-33.1449""","""149.9814"""
81,X01808,Litoria peronii,"""-33.3814""","""149.885"""
82,X03904,Corvus orru,"""-33.4123""","""150.0799"""
83,X02391,Eopsaltria australis,"""-33.1341""","""150.1358"""
84,X01312,Rhipidura rufifrons,"""-32.8405""","""150.3575"""
85,X01126,Poecilodryas superciliosa,"""-18.7395""","""138.3191"""
86,X03222,Smicrornis brevirostris,"""-33.1449""","""149.9814"""
87,X02312,Ptilotula penicillata,"""-33.1449""","""149.9814"""
88,X01110,Eopsaltria australis,"""-33.3814""","""149.8849"""
89,X01166,Daphoenositta chrysoptera,"""-33.1449""","""149.9814"""
90,X03272,Acanthiza nana,"""-33.1341""","""150.1358"""
91,X02787,Turnix varius,"""-33.1449""","""149.9814"""
92,X02714,Caligavis chrysops,"""-33.1341""","""150.1358"""
93,X03655,Pachycephala rufiventris,"""-33.1449""","""149.9814"""
94,X02962,Eurostopodus mystacalis,"""-33.1449""","""149.9814"""
95,X01656,Menura novaehollandiae,"""-33.5074""","""150.4007"""
96,X03913,Corcorax melanorhamphos,"""-33.1449""","""149.9814"""
97,X02329,Strepera graculina,"""-33.1341""","""150.1358"""
98,X02901,Psephotus haematonotus,"""-33.1519""","""150.1279"""
99,X00289,Accipiter fasciatus,"""-33.1171""","""150.1566"""
100,X03639,Psophodes olivaceus,"""-29.4079""","""153.3503"""
101,X01768,Menura novaehollandiae,"""-33.1738""","""149.9977"""
102,X02920,Scythrops novaehollandiae,"""-33.1449""","""149.9814"""
103,X03388,Anthochaera phrygia,"""-33.0522""","""150.1722"""
104,X01473,Struthidea cinerea,"""-18.1622""","""140.8553"""
105,X03970,Gryllidae sp.,"""-33.1449""","""149.9814"""
106,X02172,Pachycephala rufiventris,"""-33.1449""","""149.9814"""
107,X00320,Fulica atra,"""-33.1449""","""149.9814"""
108,X03743,Coracina papuensis,"""-33.1519""","""150.1279"""
109,X03727,Rhipidura albiscapa,"""-33.1449""","""149.9814"""
110,X03689,Colluricincla harmonica,"""-33.1449""","""149.9814"""
111,X02439,Ptilotula fusca,"""-33.1801""","""150.1256"""
112,X00136,Limnodynastes dumerilii,"""-33.3814""","""149.885"""
113,X03025,Aegotheles cristatus,"""-33.1449""","""149.9814"""
114,X03081,Menura novaehollandiae,"""-32.7995""","""149.9715"""
115,X02472,Gallinula tenebrosa,"""-33.4123""","""150.0799"""
116,X02330,Cormobates leucophaea,"""-33.1171""","""150.1566"""
117,X00724,Anthochaera chrysoptera,"""-29.1141""","""153.4279"""
118,X03813,Cracticus nigrogularis,"""-33.1449""","""149.9814"""
119,X02840,Cacatua galerita,"""-33.1449""","""149.9814"""
120,X01687,Menura novaehollandiae,"""-33.2469""","""149.8614"""
121,X00479,Cacomantis flabelliformis,"""-32.8405""","""150.3575"""
122,X02268,Pachycephala rufiventris,"""-33.1341""","""150.1358"""
123,X02988,Aegotheles cristatus,"""-33.1449""","""149.9814"""
124,X03416,Anthochaera phrygia,"""-30.4511""","""151.2195"""
125,X01291,Myiagra alecto,"""-12.9025""","""132.5228"""
126,X02931,Ninox connivens,"""-33.1""","""150.2"""
127,X04127,Psophodes nigrogularis,"""-34.7857""","""135.8021"""
128,X02212,Rhipidura leucophrys,"""-33.1341""","""150.1358"""
129,X01742,Menura novaehollandiae,"""-33.1234""","""149.8389"""
130,X04326,Litoria serrata,"""-16.98053""","""145.63499"""
131,X03880,Strepera graculina,"""-33.1449""","""149.9814"""
132,X02464,Limnodynastes dumerilii,"""-33.4123""","""150.0799"""
133,X01693,Menura novaehollandiae,"""-33.2469""","""149.8614"""
134,X00820,Philemon citreogularis,"""-13.4342""","""132.4168"""
135,X00415,Platycercus elegans,"""-33.3814""","""149.8849"""
136,X00926,Ptilotula penicillata,"""-33.1449""","""149.9814"""
137,X03305,Acanthagenys rufogularis,"""-33.1449""","""149.9814"""
138,X03928,Stagonopleura guttata,"""-33.1341""","""150.1358"""
139,X02232,Gymnorhina tibicen,"""-33.1341""","""150.1358"""
140,X00548,Climacteris erythrops,"""-33.1107""","""150.0567"""
141,X01069,Petroica goodenovii,"""-33.1449""","""149.9814"""
142,X00520,Dacelo novaeguineae,"""-33.1449""","""149.9814"""
143,X03508,Ptilotula fusca,"""-33.1384""","""150.1269"""
144,X02552,Philemon corniculatus,"""-33.1449""","""149.9814"""
145,X00443,Melopsittacus undulatus,"""-23.7367""","""132.3451"""
146,X03275,Acanthiza lineata,"""-33.1101""","""150.0567"""
147,X00218,Caelifera sp.,"""-33.1449""","""149.9814"""
148,X01630,Turdus merula,"""-33.3814""","""149.8849"""
149,X00511,Eurostopodus mystacalis,"""-33.1449""","""149.9814"""
150,X00128,Crinia signifera,"""-33.3814""","""149.885"""
151,X00804,Philemon corniculatus,"""-31.8241""","""149.7198"""
152,X02462,Myzomela sanguinolenta,"""-33.1171""","""150.1566"""
153,X02850,Glossopsitta concinna,"""-30.4363""","""151.2297"""
154,X03376,Anthochaera phrygia,"""-33.0522""","""150.1722"""
155,X00900,Stomiopera unicolor,"""-18.7395""","""138.3191"""
156,X04172,Psophodes nigrogularis,"""-35.2776""","""136.9393"""
157,X04233,Litoria serrata,"""-16.93868""","""145.6106"""
158,X00688,Acanthiza chrysorrhoa,"""-33.1449""","""149.9814"""
159,X01651,Menura novaehollandiae,"""-33.7756""","""150.0259"""
160,X01447,Corvus coronoides,"""-33.1449""","""149.9814"""
161,X03188,Pyrrholaemus sagittata,"""-33.1341""","""150.1358"""
162,X04097,Trichosurus vulpecula,"""-33.1449""","""149.9814"""
163,X00239,Yoyetta tristrigata,"""-33.1101""","""150.0567"""
164,X00624,Pyrrholaemus sagittata,"""-33.1449""","""149.9814"""
165,X03638,Psophodes olivaceus,"""-29.4079""","""153.3503"""
166,X03961,Psaltoda plaga,"""-33.1171""","""150.1566"""
167,X01163,Daphoenositta chrysoptera,"""-33.1449""","""149.9814"""
168,X02597,Austronomus australis,"""-33.1449""","""149.9814"""
169,X02899,Psephotus haematonotus,"""-33.1449""","""149.9814"""
170,X01514,Neochmia phaeton,"""-19.0236""","""138.7097"""
171,X02844,Trichoglossus haematodus,"""-28.5395""","""153.5556"""
172,X03598,Microeca fascinans,"""-33.1341""","""150.1358"""
173,X00665,Acanthiza pusilla,"""-33.3814""","""149.8849"""
174,X00989,Microeca fascinans,"""-33.1449""","""149.9814"""
175,X01541,Stagonopleura guttata,"""-33.1449""","""149.9814"""
176,X02956,Podargus strigoides,"""-33.1449""","""149.9814"""
177,X02517,Psophodes olivaceus,"""-29.4079""","""153.3503"""
178,X04058,Pteropus scapulatus,"""-33.1449""","""149.9814"""
179,X01519,Aidemosyne modesta,"""-33.1449""","""149.9814"""
180,X03006,Aegotheles cristatus,"""-33.1449""","""149.9814"""
181,X01492,Taeniopygia guttata,"""-24.2004""","""132.8231"""
182,X00889,Caligavis chrysops,"""-33.1385""","""150.0593"""
183,X01120,Eopsaltria australis,"""-33.1806""","""150.2364"""
184,X00649,Smicrornis brevirostris,"""-33.1449""","""149.9814"""
185,X00259,Synoicus ypsilophora,"""-33.1449""","""149.9814"""
186,X00976,Myzomela sanguinolenta,"""-33.1171""","""150.1566"""
187,X03651,Daphoenositta chrysoptera,"""-33.1449""","""149.9814"""
188,X03730,Rhipidura leucophrys,"""-33.1449""","""149.9814"""
189,X02885,Platycercus elegans,"""-33.1449""","""149.9814"""
190,X04275,Litoria serrata,"""-16.96921""","""145.62697"""
191,X03875,Strepera graculina,"""-28.0911""","""153.4549"""
192,X03268,Acanthiza nana,"""-33.1449""","""149.9814"""
193,X03107,Menura novaehollandiae,"""-33.4115""","""150.0649"""
194,X01279,Myiagra rubecula,"""-33.1449""","""149.9814"""
195,X02998,Aegotheles cristatus,"""-33.1449""","""149.9814"""
196,X02141,Ptilotula penicillata,"""-33.1449""","""149.9814"""
197,X04244,Litoria serrata,"""-16.94032""","""145.60518"""
198,X00837,Anthochaera phrygia,"""-33.1449""","""149.9814"""
199,X04137,Psophodes nigrogularis,"""-34.8464""","""135.861"""
200,X04260,Litoria serrata,"""-16.95198""","""145.61961"""
201,X00152,Crinia signifera,"""-33.1171""","""150.1566"""
202,X02782,Fulica atra,"""-33.4123""","""150.0799"""
203,X03974,Gryllotalpidae sp.,"""-33.1449""","""149.9814"""
204,X03978,Gryllotalpidae sp.,"""-33.1449""","""149.9814"""
205,X02426,Pachycephala rufiventris,"""-33.1171""","""150.1566"""
206,X04221,Litoria myola,"""-16.8""","""145.6"""
207,X02252,Corvus coronoides,"""-33.1341""","""150.1358"""
208,X03956,Henicopsaltria eydouxii,"""-33.1449""","""149.9814"""
209,X02302,Colluricincla harmonica,"""-33.1449""","""149.9814"""
210,X00453,Heteroscenes pallidus,"""-33.1449""","""149.9814"""
211,X01605,Zosterops lateralis,"""-33.1449""","""149.9814"""
212,X02612,Anthochaera carunculata,"""-33.1341""","""150.1358"""
213,X01694,Menura novaehollandiae,"""-33.6333""","""150.2906"""
214,X01562,Dicaeum hirundinaceum,"""-33.1449""","""149.9814"""
215,X03997,Gryllidae sp.,"""-33.3814""","""149.8849"""
216,X02576,Anas superciliosa,"""-33.1449""","""149.9814"""
217,X04162,Psophodes nigrogularis,"""-35.1598""","""137.0725"""
218,X01474,Ptilonorhynchus violaceus,"""-33.3814""","""149.8849"""
219,X00509,Podargus strigoides,"""-13.8889""","""132.7813"""
220,X01641,Menura novaehollandiae,"""-33.3089""","""149.9305"""
221,X03500,Ptilotula fusca,"""-33.1449""","""149.9814"""
222,X01444,Corvus coronoides,"""-33.1449""","""149.9814"""
223,X02875,Alisterus scapularis,"""-33.1341""","""150.1358"""
224,X01223,Colluricincla woodwardi,"""-13.2718""","""132.8257"""
225,X02349,Melithreptus gularis,"""-33.1801""","""150.1256"""
226,X02646,Malurus cyaneus,"""-33.1449""","""149.9814"""
227,X02010,Psophodes olivaceus,"""-28.4589""","""153.1341"""
228,X03279,Anthochaera carunculata,"""-33.1341""","""150.1358"""
229,X03087,Menura novaehollandiae,"""-33.1107""","""150.0567"""
230,X02243,Corcorax melanorhamphos,"""-33.1341""","""150.1358"""
231,X03734,Rhipidura leucophrys,"""-33.1519""","""150.1279"""
232,X02838,Cacatua galerita,"""-33.1449""","""149.9814"""
233,X01528,Neochmia temporalis,"""-33.3814""","""149.8849"""
234,X03887,Corvus coronoides,"""-33.1449""","""149.9814"""
235,X01717,Menura novaehollandiae,"""-33.1101""","""150.0567"""
236,X00144,Litoria latopalmata,"""-33.1171""","""150.1566"""
237,X03605,Petroica goodenovii,"""-33.1449""","""149.9814"""
238,X00165,Phaneropterinae sp.,"""-33.3814""","""149.8849"""
239,X00970,Acanthorhynchus tenuirostris,"""-33.3814""","""149.8849"""
240,X00129,Crinia signifera,"""-33.3814""","""149.885"""
241,X00140,Limnodynastes peronii,"""-33.3814""","""149.885"""
242,X03943,Zosterops lateralis,"""-33.1449""","""149.9814"""
243,X02771,Nycticorax caledonicus,"""-33.1449""","""149.9814"""
244,X02506,Petroica boodang,"""-33.3209""","""150.1182"""
245,X01399,Cracticus nigrogularis,"""-18.0712""","""139.7799"""
246,X00795,Philemon corniculatus,"""-33.1449""","""149.9814"""
247,X00235,Henicopsaltria eydouxii,"""-33.1449""","""149.9814"""
248,X00438,Psephotus haematonotus,"""-33.1449""","""149.9814"""
249,X03399,Anthochaera phrygia,"""-30.4511""","""151.2195"""
250,X01119,Eopsaltria australis,"""-33.1449""","""149.9814"""
251,X00641,Smicrornis brevirostris,"""-33.1449""","""149.9814"""
252,X03757,Sphecotheres vieilloti,"""-29.4079""","""153.3503"""
253,X01381,Artamus cyanopterus,"""-33.1449""","""149.9814"""
254,X04298,Litoria serrata,"""-16.96921""","""145.62697"""
255,X03398,Anthochaera phrygia,"""-30.4511""","""151.2195"""
256,X03071,Menura novaehollandiae,"""-33.1101""","""150.0567"""
257,X02372,Smicrornis brevirostris,"""-33.1341""","""150.1358"""
258,X03091,Menura novaehollandiae,"""-33.2236""","""150.0456"""
259,X02399,Acanthiza reguloides,"""-33.1341""","""150.1358"""
260,X02289,Zosterops lateralis,"""-33.1341""","""150.1358"""
261,X03008,Aegotheles cristatus,"""-33.1449""","""149.9814"""
262,X01675,Menura novaehollandiae,"""-33.3209""","""150.1182"""
263,X03879,Strepera graculina,"""-29.4079""","""153.3503"""
264,X02478,Acanthiza nana,"""-33.1341""","""150.1358"""
265,X03617,Eopsaltria australis,"""-33.1341""","""150.1358"""
266,X02865,Glossopsitta concinna,"""-33.1449""","""149.9814"""
267,X03806,Cracticus nigrogularis,"""-33.1341""","""150.1358"""
268,X03315,Philemon corniculatus,"""-33.1449""","""149.9814"""
269,X04002,Froggattina australis,"""-33.1341""","""150.1358"""
270,X02705,Ptilotula penicillata,"""-33.1449""","""149.9814"""
271,X00394,Cacatua galerita,"""-31.8241""","""149.7198"""
272,X01222,Colluricincla megarhyncha,"""-13.5501""","""132.758"""
273,X03089,Menura novaehollandiae,"""-33.2236""","""150.0456"""
274,X01251,Colluricincla harmonica,"""-33.1159""","""149.7719"""
275,X03311,Philemon corniculatus,"""-33.1449""","""149.9814"""
276,X03206,Pyrrholaemus sagittata,"""-33.1449""","""149.9814"""
277,X03369,Anthochaera phrygia,"""-33.0522""","""150.1722"""
278,X02645,Colluricincla megarhyncha,"""-29.4079""","""153.3503"""
279,X00855,Anthochaera phrygia,"""-33.1449""","""149.9814"""
280,X01134,Pomatostomus temporalis,"""-24.2004""","""132.8231"""
281,X03265,Acanthiza chrysorrhoa,"""-33.1449""","""149.9814"""
282,X02133,Phaps chalcoptera,"""-33.1171""","""150.1566"""
283,X02179,Crinia signifera,"""-33.1341""","""150.1358"""
284,X01164,Daphoenositta chrysoptera,"""-33.1449""","""149.9814"""
285,X00720,Anthochaera chrysoptera,"""-29.1141""","""153.4279"""
286,X03810,Cracticus nigrogularis,"""-33.1449""","""149.9814"""
287,X02513,Eopsaltria australis,"""-29.4079""","""153.3503"""
288,X03538,Ptilotula penicillata,"""-33.1449""","""149.9814"""
289,X02913,Chalcites osculans,"""-33.1449""","""149.9814"""
290,X00284,Egretta novaehollandiae,"""-24.2004""","""132.8231"""
291,X00507,Ninox boobook,"""-33.3814""","""149.8849"""
292,X02245,Smicrornis brevirostris,"""-33.1341""","""150.1358"""
293,X03394,Anthochaera phrygia,"""-33.0522""","""150.1722"""
294,X03377,Anthochaera phrygia,"""-33.0522""","""150.1722"""
295,X02633,Philemon corniculatus,"""-33.1341""","""150.1358"""
296,X02858,Glossopsitta concinna,"""-33.1449""","""149.9814"""
297,X03365,Philemon corniculatus,"""-33.1449""","""149.9814"""
298,X02514,Strepera graculina,"""-29.4079""","""153.3503"""
299,X02377,Cracticus nigrogularis,"""-33.1801""","""150.1256"""
300,X00638,Smicrornis brevirostris,"""-33.1449""","""149.9814"""
301,X00650,Smicrornis brevirostris,"""-33.1449""","""149.9814"""
302,X03160,Pardalotus punctatus,"""-33.1341""","""150.1358"""
303,X01599,Cincloramphus mathewsi,"""-33.1449""","""149.9814"""
304,X02821,Geopelia humeralis,"""-29.4079""","""153.3503"""
305,X03971,Gryllidae sp.,"""-33.1449""","""149.9814"""
306,X02402,Geopelia placida,"""-33.1341""","""150.1358"""
307,X02713,Anthochaera carunculata,"""-33.1341""","""150.1358"""
308,X02015,Psophodes olivaceus,"""-33.1101""","""150.0567"""
309,X02579,Tachybaptus novaehollandiae,"""-33.1449""","""149.9814"""
310,X04168,Psophodes nigrogularis,"""-35.2785""","""136.9381"""
311,X00354,Geopelia placida,"""-33.1449""","""149.9814"""
312,X00582,Pardalotus striatus,"""-33.1449""","""149.9814"""
313,X03691,Colluricincla harmonica,"""-33.1171""","""150.1566"""
314,X00112,Limnodynastes peronii,"""-33.3814""","""149.885"""
315,X00454,Heteroscenes pallidus,"""-33.1449""","""149.9814"""
316,X01839,Podargus strigoides,"""-33.1301""","""150.1398"""
317,X01380,Artamus cyanopterus,"""-33.1449""","""149.9814"""
318,X03818,Cracticus nigrogularis,"""-28.0924""","""153.4599"""
319,X03274,Acanthiza lineata,"""-33.1101""","""150.0567"""
320,X03354,Philemon corniculatus,"""-33.1449""","""149.9814"""
321,X01443,Corvus coronoides,"""-33.1449""","""149.9814"""
322,X00557,Malurus cyaneus,"""-33.3814""","""149.8849"""
323,X02613,Philemon corniculatus,"""-33.1341""","""150.1358"""
324,X02869,Parvipsitta pusilla,"""-33.1519""","""150.1279"""
325,X00121,Limnodynastes peronii,"""-33.3814""","""149.885"""
326,X01813,Litoria verreauxii,"""-33.3814""","""149.885"""
327,X02408,Pachycephala rufiventris,"""-33.1341""","""150.1358"""
328,X03499,Ptilotula fusca,"""-33.1341""","""150.1358"""
329,X00838,Anthochaera phrygia,"""-33.1449""","""149.9814"""
330,X04196,Cophixalus ornatus,"""-16.82667""","""145.65442"""
331,X00452,Heteroscenes pallidus,"""-24.2004""","""132.8231"""
332,X00439,Psephotus haematonotus,"""-33.1449""","""149.9814"""
333,X03285,Anthochaera carunculata,"""-33.1341""","""150.1358"""
334,X00583,Pardalotus striatus,"""-33.1449""","""149.9814"""
335,X04209,Litoria myola,"""-16.8""","""145.6"""
336,X00982,Myzomela sanguinolenta,"""-33.1449""","""149.9814"""
337,X01487,Anthus novaeseelandiae,"""-33.1449""","""149.9814"""
338,X01429,Strepera graculina,"""-33.6457""","""150.0478"""
339,X02719,Meliphaga lewinii,"""-29.4079""","""153.3503"""
340,X04321,Litoria serrata,"""-16.98053""","""145.63499"""
341,X02970,Eurostopodus mystacalis,"""-33.1449""","""149.9814"""
342,X01053,Petroica goodenovii,"""-33.1449""","""149.9814"""
343,X03718,Rhipidura albiscapa,"""-33.3814""","""149.8849"""
344,X03095,Menura novaehollandiae,"""-33.3209""","""150.1182"""
345,X03832,Gymnorhina tibicen,"""-33.1449""","""149.9814"""
346,X03661,Pachycephala rufiventris,"""-33.1341""","""150.1358"""
347,X03253,Acanthiza pusilla,"""-33.1449""","""149.9814"""
348,X01073,Petroica goodenovii,"""-33.1449""","""149.9814"""
349,X00892,Caligavis chrysops,"""-33.1806""","""150.2364"""
350,X03390,Anthochaera phrygia,"""-33.0522""","""150.1722"""
351,X01529,Neochmia temporalis,"""-33.3814""","""149.8849"""
352,X02154,Eopsaltria australis,"""-33.1341""","""150.1358"""
353,X03747,Oriolus sagittatus,"""-33.1449""","""149.9814"""
354,X03944,Zosterops lateralis,"""-33.1449""","""149.9814"""
355,X00639,Smicrornis brevirostris,"""-33.1449""","""149.9814"""
356,X02741,Litoria caerulea,"""-33.1449""","""149.9814"""
357,X02328,Caligavis chrysops,"""-33.1341""","""150.1358"""
358,X00216,Caelifera sp.,"""-33.1449""","""149.9814"""
359,X02966,Eurostopodus mystacalis,"""-33.1449""","""149.9814"""
360,X02966,Eurostopodus mystacalis,"""-33.1449""","""149.9814"""
361,X03359,Philemon corniculatus,"""-31.8241""","""149.7198"""
362,X03310,Philemon corniculatus,"""-33.1449""","""149.9814"""
363,X02666,Pomatostomus superciliosus,"""-33.1341""","""150.1358"""
364,X03148,Malurus cyaneus,"""-33.1449""","""149.9814"""
365,X02946,Ninox boobook,"""-33.1449""","""149.9814"""
366,X00114,Crinia signifera,"""-33.3814""","""149.885"""
367,X01740,Menura novaehollandiae,"""-33.1234""","""149.8389"""
368,X03096,Menura novaehollandiae,"""-33.3209""","""150.1182"""
369,X02701,Vulpes vulpes,"""-33.1449""","""149.9814"""
370,X03623,Eopsaltria australis,"""-33.1449""","""149.9814"""
371,X00863,Manorina melanophrys,"""-33.7122""","""150.9575"""
372,X02679,Cacatua galerita,"""-33.1449""","""149.9814"""
373,X00719,Anthochaera chrysoptera,"""-29.1141""","""153.4279"""
374,X00840,Anthochaera phrygia,"""-33.1449""","""149.9814"""
375,X02427,Rhipidura albiscapa,"""-33.1171""","""150.1566"""
376,X04064,Macropus giganteus,"""-33.1449""","""149.9814"""
377,X02379,Ptilotula penicillata,"""-33.1801""","""150.1256"""
378,X01185,Pachycephala pectoralis,"""-28.4589""","""153.1341"""
379,X02208,Aidemosyne modesta,"""-33.1449""","""149.9814"""
380,X03602,Petroica boodang,"""-33.1449""","""149.9814"""
381,X02635,Philemon corniculatus,"""-33.1341""","""150.1358"""
382,X03784,Cracticus torquatus,"""-33.1449""","""149.9814"""
383,X00746,Philemon argenticeps,"""-13.4935""","""132.5857"""
384,X03238,Gerygone olivacea,"""-33.1171""","""150.1566"""
385,X00178,Gryllotalpidae sp.,"""-33.1449""","""149.9814"""
386,X01393,Cracticus nigrogularis,"""-17.4549""","""138.3563"""
387,X02888,Platycercus adscitus,"""-33.1519""","""150.1279"""
388,X03539,Ptilotula penicillata,"""-33.1341""","""150.1358"""
389,X03514,Ptilotula fusca,"""-33.1341""","""150.1358"""
390,X02107,Petroica goodenovii,"""-33.1449""","""149.9814"""
391,X00620,Pyrrholaemus brunneus,"""-24.2004""","""132.8231"""
392,X04241,Litoria serrata,"""-16.94032""","""145.60518"""
393,X00711,Anthochaera carunculata,"""-31.9606""","""115.8535"""
394,X01809,Litoria verreauxii,"""-33.3814""","""149.885"""
395,X03262,Acanthiza reguloides,"""-33.1449""","""149.9814"""
396,X03031,Aegotheles cristatus,"""-33.1449""","""149.9814"""
397,X01039,Petroica goodenovii,"""-33.1449""","""149.9814"""
398,X01361,Oriolus flavocinctus,"""-12.6539""","""131.7142"""
399,X02611,Acanthiza reguloides,"""-33.1449""","""149.9814"""
400,X03917,Corcorax melanorhamphos,"""-33.1449""","""149.9814"""
401,X02298,Caligavis chrysops,"""-33.1171""","""150.1566"""
402,X03183,Pyrrholaemus sagittata,"""-33.1449""","""149.9814"""
403,X03646,Psophodes olivaceus,"""-29.4079""","""153.3503"""
404,X00449,Heteroscenes pallidus,"""-24.2004""","""132.8231"""
405,X03231,Gerygone fusca,"""-33.1341""","""150.1358"""
406,X04288,Litoria serrata,"""-16.96921""","""145.62697"""
407,X02889,Platycercus adscitus,"""-33.1341""","""150.1358"""
408,X03631,Pomatostomus superciliosus,"""-33.1519""","""150.1279"""
409,X00400,Trichoglossus haematodus,"""-28.5405""","""153.5495"""
410,X02225,Melithreptus brevirostris,"""-33.1341""","""150.1358"""
411,X02801,Phaps elegans,"""-33.1449""","""149.9814"""
412,X02204,Gymnorhina tibicen,"""-33.1449""","""149.9814"""
413,X02183,Stizoptera bichenovii,"""-33.1341""","""150.1358"""
