species,file_name,split
uperoleia mimula,project_echo_bucket_2__region_83.800-85.800.mp3,train
uperoleia mimula,project_echo_bucket_2__region_85.800-87.800.mp3,train
uperoleia mimula,project_echo_bucket_2__region_182.100-183.750.mp3,train
uperoleia mimula,project_echo_bucket_3__region_187.250-189.250.mp3,train
uperoleia mimula,project_echo_bucket_2__region_72.800-74.250.mp3,test
uperoleia mimula,project_echo_bucket_2__region_231.400-233.150.mp3,train
uperoleia mimula,project_echo_bucket_2__region_185.100-187.100.mp3,test
uperoleia mimula,project_echo_bucket_2__region_187.250-189.250.mp3,train
uperoleia mimula,project_echo_bucket_2__region_238.900-240.700.mp3,train
uperoleia mimula,project_echo_bucket_3__region_105.950-107.600.mp3,validation
uperoleia mimula,project_echo_bucket_3__region_104.500-105.500.mp3,train
uperoleia mimula,project_echo_bucket_2__region_10.750-12.750.mp3,train
uperoleia mimula,project_echo_bucket_2__region_69.100-70.450.mp3,train
uperoleia mimula,project_echo_bucket_1__region_104.500-105.500.wav,train
uperoleia mimula,project_echo_bucket_3__region_85.800-87.800.mp3,test
uperoleia mimula,project_echo_bucket_2__region_222.000-223.200.mp3,train
uperoleia mimula,project_echo_bucket_3__region_67.600-68.800.mp3,train
uperoleia mimula,project_echo_bucket_3__region_236.750-238.150.mp3,validation
uperoleia mimula,project_echo_bucket_2__region_7.050-9.050.mp3,train
uperoleia mimula,project_echo_bucket_2__region_65.200-67.200.mp3,train
uperoleia mimula,project_echo_bucket_3__region_89.800-91.800.mp3,validation
uperoleia mimula,project_echo_bucket_2__region_234.750-236.550.mp3,train
uperoleia mimula,project_echo_bucket_3__region_87.800-89.800.mp3,train
uperoleia mimula,project_echo_bucket_2__region_39.500-41.050.mp3,test
uperoleia mimula,project_echo_bucket_3__region_65.200-67.200.mp3,train
uperoleia mimula,project_echo_bucket_2__region_200.150-201.400.mp3,validation
uperoleia mimula,project_echo_bucket_2__region_189.250-191.250.mp3,validation
uperoleia mimula,project_echo_bucket_3__region_7.050-9.050.mp3,train
uperoleia mimula,project_echo_bucket_2__region_31.600-33.250.mp3,train
uperoleia mimula,project_echo_bucket_2__region_67.600-68.800.mp3,test
uperoleia mimula,project_echo_bucket_2__region_211.450-213.000.mp3,train
uperoleia mimula,project_echo_bucket_2__region_61.200-63.200.mp3,test
uperoleia mimula,project_echo_bucket_2__region_93.800-95.800.mp3,train
uperoleia mimula,project_echo_bucket_3__region_72.800-74.250.mp3,test
uperoleia mimula,project_echo_bucket_1__region_236.750-238.150.wav,test
uperoleia mimula,project_echo_bucket_3__region_75.800-77.800.mp3,train
uperoleia mimula,project_echo_bucket_3__region_74.400-75.700.mp3,train
uperoleia mimula,project_echo_bucket_2__region_107.900-109.900.mp3,train
uperoleia mimula,project_echo_bucket_2__region_213.250-215.250.mp3,test
uperoleia mimula,project_echo_bucket_1__region_89.800-91.800.wav,train
uperoleia mimula,project_echo_bucket_3__region_238.900-240.700.mp3,train
uperoleia mimula,project_echo_bucket_3__region_83.800-85.800.mp3,train
uperoleia mimula,project_echo_bucket_3__region_10.750-12.750.mp3,train
uperoleia mimula,project_echo_bucket_2__region_81.800-83.800.mp3,train
uperoleia mimula,project_echo_bucket_3__region_22.750-24.750.mp3,validation
uperoleia mimula,project_echo_bucket_3__region_211.450-213.000.mp3,train
uperoleia mimula,project_echo_bucket_3__region_189.250-191.250.mp3,test
uperoleia mimula,project_echo_bucket_3__region_102.500-104.500.mp3,train
uperoleia mimula,project_echo_bucket_3__region_81.800-83.800.mp3,train
uperoleia mimula,project_echo_bucket_3__region_77.800-79.800.mp3,test
uperoleia mimula,project_echo_bucket_2__region_105.950-107.600.mp3,train
uperoleia mimula,project_echo_bucket_2__region_77.800-79.800.mp3,test
uperoleia mimula,project_echo_bucket_2__region_70.850-72.700.mp3,validation
uperoleia mimula,project_echo_bucket_3__region_200.150-201.400.mp3,train
uperoleia mimula,project_echo_bucket_2__region_179.100-180.450.mp3,test
uperoleia mimula,project_echo_bucket_3__region_185.100-187.100.mp3,validation
uperoleia mimula,project_echo_bucket_2__region_196.550-198.550.mp3,train
uperoleia mimula,project_echo_bucket_2__region_191.250-193.250.mp3,train
uperoleia mimula,project_echo_bucket_3__region_69.100-70.450.mp3,train
uperoleia mimula,project_echo_bucket_2__region_22.750-24.750.mp3,test
uperoleia mimula,project_echo_bucket_2__region_0.550-1.900.mp3,validation
uperoleia mimula,project_echo_bucket_3__region_0.550-1.900.mp3,train
uperoleia mimula,project_echo_bucket_3__region_61.200-63.200.mp3,train
uperoleia mimula,project_echo_bucket_3__region_93.800-95.800.mp3,test
uperoleia mimula,project_echo_bucket_2__region_37.500-39.500.mp3,validation
uperoleia mimula,project_echo_bucket_2__region_87.800-89.800.mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (97).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (254).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (239).wav,test
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (115).wav,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (124).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (91).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (164).mp3,validation
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (64).wav,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (143).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (94).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (186).mp3,validation
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (81).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (209).mp3,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (147).mp3,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (59).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (203).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (211).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (205).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (246).wav,test
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (105).wav,test
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (88).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (153).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (82).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (253).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (47).wav,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (71).mp3,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (153).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (196).wav,test
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (220).wav,test
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (182).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (77).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (38).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (175).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (114).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (4).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (114).wav,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (165).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (208).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (256).wav,validation
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (3).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (92).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (132).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (148).mp3,test
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (160).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (159).wav,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (179).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (188).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (126).mp3,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (190).mp3,validation
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (241).wav,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (105).mp3,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (171).mp3,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (3).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (48).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (193).wav,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (257).mp3,validation
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (133).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (44).mp3,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (255).mp3,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (81).mp3,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (232).mp3,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (261).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (223).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (230).mp3,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (242).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (211).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (60).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (128).mp3,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (183).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (215).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (80).wav,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (154).mp3,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (38).mp3,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (206).mp3,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (2).mp3,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (108).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (134).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (106).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (95).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (109).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (68).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (248).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (240).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (198).wav,validation
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (10).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (178).wav,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (49).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (72).mp3,validation
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (223).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (146).mp3,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (145).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (185).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (144).wav,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (191).mp3,validation
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (158).wav,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (224).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (234).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (102).wav,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (233).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (150).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (218).wav,validation
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (180).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (238).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (48).wav,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (107).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (166).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (161).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (156).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (207).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (86).wav,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (151).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (184).wav,test
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (187).wav,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (67).mp3,test
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (116).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (120).wav,validation
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (42).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (54).mp3,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (256).mp3,validation
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (137).mp3,train
dasyurus maculatus,project_echo_bucket_1__Tiger_Quoll (235).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (232).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (119).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (253).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (161).mp3,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (47).mp3,validation
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (71).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (67).wav,validation
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (157).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (243).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (102).mp3,validation
dasyurus maculatus,project_echo_bucket_1__Tiger_Quoll (249).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (39).mp3,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (139).mp3,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (66).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (129).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (220).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (121).mp3,test
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (96).wav,test
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (227).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (254).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (149).mp3,test
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (55).wav,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (123).mp3,validation
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (40).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (93).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (104).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (82).wav,validation
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (177).wav,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (95).mp3,validation
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (63).wav,train
dasyurus maculatus,project_echo_bucket_3__Tiger_Quoll (255).wav,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (251).mp3,test
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (162).mp3,train
dasyurus maculatus,project_echo_bucket_2__Tiger_Quoll (207).mp3,test
