Class,Filename,Seconds,Total_samples_by_class,Total_duration_by_class
Ninox strenua - powerful owl,powerful owl (56).wav,0.65,107,00:04:53
Ninox strenua - powerful owl,powerful owl (57).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (58).wav,2.4,107,00:04:53
Ninox strenua - powerful owl,powerful owl (59).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (6).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (60).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (61).wav,1.65,107,00:04:53
Ninox strenua - powerful owl,powerful owl (62).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (63).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (64).wav,0.8,107,00:04:53
Ninox strenua - powerful owl,powerful owl (65).wav,1.3,107,00:04:53
Ninox strenua - powerful owl,powerful owl (66).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (67).wav,0.75,107,00:04:53
Ninox strenua - powerful owl,powerful owl (68).wav,1.1,107,00:04:53
Ninox strenua - powerful owl,powerful owl (69).wav,1.55,107,00:04:53
Ninox strenua - powerful owl,powerful owl (7).wav,1.45,107,00:04:53
Ninox strenua - powerful owl,powerful owl (70).wav,3.5,107,00:04:53
Ninox strenua - powerful owl,powerful owl (71).wav,0.338,107,00:04:53
Ninox strenua - powerful owl,powerful owl (72).wav,3.4,107,00:04:53
Ninox strenua - powerful owl,powerful owl (73).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (74).wav,3.05,107,00:04:53
Ninox strenua - powerful owl,powerful owl (75).wav,1.55,107,00:04:53
Ninox strenua - powerful owl,powerful owl (76).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (77).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (78).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (79).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (8).wav,0.75,107,00:04:53
Ninox strenua - powerful owl,powerful owl (80).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (81).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (82).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (83).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (84).wav,3.3,107,00:04:53
Ninox strenua - powerful owl,powerful owl (85).wav,1.35,107,00:04:53
Ninox strenua - powerful owl,powerful owl (86).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (87).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (88).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (89).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (9).wav,0.75,107,00:04:53
Ninox strenua - powerful owl,powerful owl (90).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (91).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (92).wav,1.65,107,00:04:53
Ninox strenua - powerful owl,powerful owl (93).wav,3.35,107,00:04:53
Ninox strenua - powerful owl,powerful owl (94).wav,1.7,107,00:04:53
Ninox strenua - powerful owl,powerful owl (95).wav,2.85,107,00:04:53
Ninox strenua - powerful owl,powerful owl (96).wav,0.6,107,00:04:53
Ninox strenua - powerful owl,powerful owl (97).wav,1.75,107,00:04:53
Ninox strenua - powerful owl,powerful owl (98).wav,3.4,107,00:04:53
Ninox strenua - powerful owl,powerful owl (99).wav,1.8,107,00:04:53
Pezoporus wallicus - ground parrot,ground parrot  (1).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (10).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (11).wav,3.7,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (12).wav,0.4,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (13).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (14).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (15).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (16).wav,0.85,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (17).wav,2.6,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (18).wav,2.35,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (19).wav,0.9,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (2).wav,2.8,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (20).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (21).wav,0.9,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (22).wav,0.75,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (23).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (24).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (25).wav,3.95,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (26).wav,3.65,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (27).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (28).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (29).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (3).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (30).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (31).wav,1.55,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (32).wav,0.9,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (33).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (34).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (35).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (36).wav,1.05,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (37).wav,3.15,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (38).wav,2.1,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (39).wav,1.2,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (4).wav,1.2,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (40).wav,1.752,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (41).wav,2.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (42).wav,1.05,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (43).wav,1.6,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (44).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (45).wav,1.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (46).wav,1.05,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (47).wav,3.85,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (48).wav,2.5,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (49).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (5).wav,2.3,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (50).wav,0.7,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (51).wav,1.24,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (52).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (53).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (54).wav,3.99,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (6).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (7).wav,4.0,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (8).wav,1.6,54,00:02:31
Pezoporus wallicus - ground parrot,ground parrot  (9).wav,4.0,54,00:02:31
